id,dates,article,quantite,prix-achat,prix_vente,vendeur,client,quartier
BV4535-JE,1/1/2021,acier,449,34.99,415.77,Luc,Entrepreneur,Agbalépédo
QA8274-JS,1/1/2021,brique,345,54.99,127.92,Colette,Maçon,Agbalépédogan
WH0936-HK,10/3/2018,acier,33,22.99,496.87,Julien,Particulier,Agbalépédogan
NJ5850-LD,5/12/2019,verre,743,1.99,264.14,Carole,Maçon,Agbalepedogan
AH6694-HZ,7/8/2020,ciment,427,14.99,222.8,Julien,Particulier,Agbalépédogan
VB4267-EB,3/4/2017,verre,608,15.99,368.55,Carole,Maçon,Agbalepedogan
RN3611-YM,5/12/2019,ciment,647,69.99,200.99,Carole,Particulier,Adakpamé
VD7301-UE,3/4/2017,acier,320,2.29,316.37,Ana,Particulier,Agbalépédogan
IW1677-CX,3/4/2017,acier,846,199.99,349.08,Julien,Particulier,Agbalepedogan
DN0795-MJ,1/1/2021,bois,157,39.99,476,Carole,Maçon,Agbalépédogan
DY3255-OM,1/1/2021,verre,273,1.99,96.84,Jean,Maçon,Agbalepedogan
RI3530-HC,7/8/2020,brique,374,1.99,223.17,Carole,Particulier,Kodjoviakopé
WP2253-FF,1/1/2021,bois,598,19.99,425.64,Jean,Entrepreneur,Agbalépédogan
DA4301-VQ,1/1/2021,verre,758,3.99,209.4,Ana,Entrepreneur,Adakpamé
HR1238-VU,5/12/2019,verre,417,18.99,143.47,Carole,Entrepreneur,Bè
CF7530-PL,10/3/2018,verre,572,89.99,76.78,Ana,Entrepreneur,Agbalepedogan
FY7465-FN,7/8/2020,brique,625,3.49,375.78,Colette,Maçon,Agbalepedogan
YS5812-MM,5/12/2019,brique,983,2.79,406.59,Julien,Entrepreneur,Agbalepedogan
XC5483-RC,3/4/2017,brique,337,19.99,465.96,Ana,Entrepreneur,Djidjolé
QT1958-MK,10/3/2018,brique,636,24.99,321.49,Ana,Maçon,Agbalépédogan
AB4663-TY,3/4/2017,verre,727,34.99,396.56,Carole,Particulier,Agbalépédogan
SV6651-XF,3/4/2017,verre,29,34.99,135.93,Julien,Maçon,Agbalepedogan
BW2546-ZL,10/3/2018,verre,647,2.49,330.24,Julien,Entrepreneur,Adakpamé
KH7242-FY,1/1/2021,acier,184,1.89,102.23,Jean,Maçon,Bè
KO7869-CE,7/8/2020,verre,88,49.99,249.27,Carole,Maçon,Nyékonakpoé
IU0578-AY,7/8/2020,ciment,614,2.99,232.01,Luc,Maçon,Agoe
AU3809-SE,5/12/2019,bois,467,29.99,202.8,Jean,Maçon,Agbalepedogan
WC8361-GA,7/8/2020,verre,469,22.99,73.77,Ana,Particulier,Agbalépédogan
PY7958-HX,1/1/2021,verre,858,34.99,199.04,Luc,Maçon,Agbalepedogan
MK8369-XT,3/4/2017,ciment,984,4.49,493.36,Carole,Maçon,Agbalépédogan
ZZ7904-GG,1/1/2021,acier,83,199.99,314.38,Jean,Particulier,Agbalepedogan
QB2674-HX,7/8/2020,brique,806,34.99,416.23,Julien,Particulier,Agbalépédo
ZS6888-XK,5/12/2019,bois,282,99.99,463.52,Jean,Maçon,Nyékonakpoé
EL1341-NB,7/8/2020,verre,799,1.89,477.34,Jean,Entrepreneur,Agbalépédogan
XU5657-IT,3/4/2017,bois,24,7.99,352.17,Colette,Particulier,Agbalepedogan
MT0390-IN,5/12/2019,ciment,506,49.99,407.21,Ana,Maçon,Agbalépédogan
CC5381-MM,3/4/2017,ciment,323,199.99,243.1,Colette,Entrepreneur,Agbalepedogan
IR8104-MG,10/3/2018,verre,465,3.99,244.15,Luc,Maçon,Agbalépédogan
AG4187-OR,5/12/2019,ciment,962,1.49,225.27,Colette,Maçon,Agbalepedogan
ZN2246-JO,5/12/2019,ciment,250,6.99,366.74,Jean,Particulier,Agbalépédogan
BP6508-MD,10/3/2018,acier,675,3.49,255.98,Luc,Entrepreneur,Agbalépédogan
ME1558-OL,5/12/2019,bois,493,69.99,159.15,Ana,Particulier,Agbalépédogan
EU1743-JY,10/3/2018,ciment,615,3.29,437.16,Colette,Entrepreneur,Agbalépédogan
BB5059-TH,7/8/2020,acier,729,4.99,315.09,Carole,Particulier,Agbalépédogan
QG6301-PN,10/3/2018,brique,336,2.79,270.59,Luc,Maçon,Agbalepedogan
VG4162-UE,10/3/2018,brique,78,3.69,129.28,Julien,Maçon,Agoe
AD5798-VR,7/8/2020,bois,654,29.99,124.37,Carole,Entrepreneur,Kodjoviakopé
GX4810-GY,1/1/2021,brique,867,349.99,264.86,Carole,Entrepreneur,Agbalepedogan
CM7342-TQ,3/4/2017,bois,234,39.99,195.03,Luc,Particulier,Agbalepedo
IT7868-TM,10/3/2018,ciment,547,2.99,118.96,Luc,Maçon,Agbalepedogan
JC6531-OT,3/4/2017,acier,380,39.99,326.02,Julien,Particulier,Agoe
EF7220-FM,7/8/2020,verre,471,3.99,283.76,Carole,Maçon,Aflao Gakli
BT4893-OK,1/1/2021,verre,542,8.99,491.1,Julien,Entrepreneur,Agbalepedogan
WD3354-WR,10/3/2018,acier,880,3.69,50.02,Ana,Entrepreneur,Agbalepedogan
DZ9422-KT,1/1/2021,ciment,894,3.99,396.12,Luc,Particulier,Agbalépédogan
VS2117-ZV,3/4/2017,verre,406,79.99,122.82,Ana,Entrepreneur,Agbalepedogan
JO9648-TM,7/8/2020,brique,448,2.99,232.81,Jean,Maçon,Agbalepedogan
WF5242-PC,5/12/2019,bois,407,5.99,248.73,Ana,Particulier,Aflao Gakli
IT0842-KO,10/3/2018,verre,57,15.99,285.05,Julien,Particulier,Bè
CP0800-DB,7/8/2020,ciment,542,109.99,310.68,Carole,Maçon,Agbalepedogan
MD7983-GQ,10/3/2018,acier,569,4.79,357.26,Ana,Entrepreneur,Aflao Gakli
AE6327-GT,7/8/2020,brique,112,4.99,208.73,Jean,Maçon,Agbalepedogan
JF4201-RV,7/8/2020,ciment,188,79.99,79.83,Colette,Particulier,Agbalépédo
LY2055-IG,5/12/2019,acier,459,2.99,62.74,Luc,Particulier,Agbalépédogan
TT4836-OM,1/1/2021,bois,329,3.49,357.37,Luc,Particulier,Aflao Gakli
FM1719-BZ,10/3/2018,brique,309,4.49,427.3,Carole,Maçon,Agbalepedogan
BT1307-TA,1/1/2021,verre,488,1.99,202.5,Colette,Entrepreneur,Agbalepedogan
DJ4095-BC,1/1/2021,acier,467,4.99,55.99,Luc,Particulier,Agoe
XX8327-ID,7/8/2020,verre,525,39.99,355.15,Jean,Maçon,Agoe
QN5580-LS,1/1/2021,brique,962,59.99,287.85,Julien,Maçon,Agbalepedogan
HE1819-DF,1/1/2021,verre,16,2.49,272.89,Julien,Entrepreneur,Agbalepedogan
AS1195-TZ,3/4/2017,verre,175,29.99,424.38,Ana,Particulier,Agbalepedogan
PW8522-AW,1/1/2021,brique,128,7.99,308.54,Jean,Entrepreneur,Agbalépédogan
YJ5396-JY,1/1/2021,acier,290,27.99,72.34,Jean,Particulier,Agbalépédogan
YT8141-HN,1/1/2021,verre,959,5.99,154.65,Luc,Entrepreneur,Djidjolé
SV9332-UX,1/1/2021,bois,66,12.99,70.37,Colette,Entrepreneur,Agbalépédogan
NF0815-VM,3/4/2017,acier,318,5.49,58.4,Julien,Particulier,Agbalépédogan
LN7280-NI,7/8/2020,brique,302,2.99,217.23,Colette,Maçon,Agbalépédogan
SE5266-KP,7/8/2020,acier,248,24.99,311.49,Jean,Particulier,Kodjoviakopé
WV7767-UI,1/1/2021,brique,196,19.99,97.55,Jean,Maçon,Agbalépédogan
LD9019-EZ,3/4/2017,ciment,904,19.99,424.37,Julien,Entrepreneur,Agbalepedogan
KE7315-TE,7/8/2020,acier,679,29.99,304.47,Ana,Particulier,Agbalépédo
WT6857-QW,1/1/2021,acier,864,22.99,486.71,Luc,Particulier,Agbalépédo
SI4478-YE,3/4/2017,bois,419,3.19,492.02,Jean,Particulier,Agbalépédogan
RY6486-LB,3/4/2017,bois,920,24.99,333.57,Ana,Maçon,Agbalepedogan
TE6338-BB,1/1/2021,brique,377,5.99,362.84,Julien,Entrepreneur,Agbalepedogan
UV9808-YK,7/8/2020,bois,976,109.99,243.79,Jean,Maçon,Agbalépédogan
ZL3969-IF,3/4/2017,ciment,688,2.99,358.39,Jean,Particulier,Adakpamé
PM3285-UJ,7/8/2020,bois,163,24.99,246.48,Luc,Maçon,Agbalepedo
OT4046-WH,7/8/2020,brique,920,7.99,376.28,Jean,Entrepreneur,Agbalépédogan
LP4577-XW,7/8/2020,bois,343,4.29,180.5,Carole,Maçon,Nyékonakpoé
UB8867-YQ,10/3/2018,brique,514,3.49,210.16,Jean,Maçon,Be Klikame
AZ3461-MP,1/1/2021,brique,978,10.99,162.74,Julien,Entrepreneur,Kodjoviakopé
FZ0350-NY,10/3/2018,bois,726,3.59,404.94,Carole,Entrepreneur,Agoe
IX6954-YD,5/12/2019,verre,973,29.99,135.28,Colette,Particulier,Agbalépédogan
NK4397-MR,10/3/2018,bois,592,17.99,280.72,Luc,Entrepreneur,Agbalepedo
TB5744-JF,10/3/2018,bois,639,2.99,125.03,Carole,Particulier,Agbalépédogan
VY8376-AA,5/12/2019,acier,932,49.99,228.08,Luc,Particulier,Agbalepedogan
QE2798-MX,3/4/2017,bois,27,39.99,320.78,Ana,Entrepreneur,Agbalepedogan
IZ2060-LJ,1/1/2021,verre,885,29.99,207.16,Julien,Particulier,Adakpamé
ZG7332-VC,10/3/2018,verre,576,4.29,378.76,Carole,Maçon,Agbalepedogan
AT8916-LK,1/1/2021,acier,506,29.99,466.26,Ana,Particulier,Adakpamé
UX9517-CD,5/12/2019,acier,604,3.49,398.35,Luc,Entrepreneur,Agbalepedogan
MG1576-JL,5/12/2019,bois,356,24.99,438.69,Colette,Entrepreneur,Agoe
DC3324-PG,1/1/2021,bois,895,15.99,348.28,Luc,Particulier,Be Klikame
AF0174-UX,3/4/2017,bois,830,3.69,360.6,Jean,Entrepreneur,Agbalépédogan
IL7315-ZN,1/1/2021,ciment,510,3.99,372.56,Ana,Entrepreneur,Aflao Gakli
GI5463-OV,1/1/2021,verre,515,199.99,58.29,Jean,Particulier,Kodjoviakopé
RP1789-BL,10/3/2018,acier,242,2.99,312.73,Jean,Particulier,Agbalépédogan
VU9185-ZV,7/8/2020,brique,70,4.99,473.96,Luc,Maçon,Bè
HJ3244-JD,1/1/2021,bois,496,89.99,396.92,Jean,Entrepreneur,Agbalépédogan
MU6159-XU,1/1/2021,bois,541,3.79,125.77,Ana,Particulier,Aflao Gakli
VN0848-YY,3/4/2017,ciment,206,3.99,279.08,Carole,Particulier,Aflao Gakli
YG1636-MB,1/1/2021,bois,885,29.99,499.18,Colette,Particulier,Agbalepedogan
IQ3490-SD,10/3/2018,acier,467,59.99,367.45,Ana,Entrepreneur,Agbalepedogan
NF1926-ZT,1/1/2021,bois,531,15.99,266.44,Julien,Maçon,Agbalepedogan
TI0772-WM,5/12/2019,brique,770,49.99,266.77,Colette,Particulier,Agbalépédogan
JC8740-GY,10/3/2018,ciment,796,22.99,327.26,Colette,Maçon,Agbalepedogan
NY0369-AR,3/4/2017,ciment,622,34.99,437.47,Luc,Entrepreneur,Agbalepedogan
ZB2961-ZF,10/3/2018,bois,882,34.99,395.75,Colette,Entrepreneur,Agbalepedogan
SF7679-ZU,1/1/2021,brique,979,49.99,441.08,Ana,Entrepreneur,Agbalépédogan
RF1741-DU,5/12/2019,acier,314,5.49,180.37,Carole,Particulier,Agbalépédogan
AZ1832-YZ,3/4/2017,bois,382,5.79,298.51,Colette,Maçon,Agbalepedogan
LV1517-NS,7/8/2020,ciment,555,3.29,328.56,Ana,Particulier,Agbalepedogan
ZY3210-MF,10/3/2018,verre,680,34.99,438.04,Luc,Entrepreneur,Djidjolé
MW5471-FV,10/3/2018,acier,395,5.99,488.09,Carole,Particulier,Agbalepedogan
LE7004-US,7/8/2020,bois,474,34.99,123.47,Colette,Entrepreneur,Djidjolé
FB3495-SQ,3/4/2017,bois,283,14.99,477.52,Julien,Maçon,Agbalépédogan
RJ8375-KO,10/3/2018,ciment,136,2.99,182.9,Carole,Maçon,Agbalepedogan
XM1615-WZ,5/12/2019,bois,13,24.99,88.75,Carole,Entrepreneur,Be Klikame
UQ7425-RH,1/1/2021,bois,628,24.99,144.19,Carole,Entrepreneur,Agbalepedogan
TO8986-GQ,3/4/2017,acier,910,3.29,67.84,Jean,Maçon,Agbalepedogan
WY7378-EM,3/4/2017,bois,240,19.99,93.82,Julien,Maçon,Agbalépédogan
ZG3722-BA,7/8/2020,bois,900,59.99,268.6,Luc,Maçon,Agbalépédogan
JJ2064-GR,7/8/2020,acier,696,3.49,211.06,Carole,Maçon,Aflao Gakli
KN1457-AP,3/4/2017,acier,363,19.99,274.02,Colette,Entrepreneur,Agbalepedogan
FI8942-KI,10/3/2018,brique,377,19.99,181.47,Carole,Particulier,Nyékonakpoé
MW6793-WR,10/3/2018,bois,602,119.99,276.07,Colette,Maçon,Bè
EY4749-MD,5/12/2019,acier,326,6.29,470.86,Jean,Maçon,Agbalepedogan
VT2168-KG,1/1/2021,brique,726,4.99,333.37,Jean,Particulier,Kodjoviakopé
UQ4800-PB,5/12/2019,verre,403,1.39,126.77,Ana,Particulier,Agbalepedogan
TN5857-LX,7/8/2020,ciment,646,2.5,233.7,Ana,Particulier,Agbalepedogan
FV9933-XL,10/3/2018,bois,785,4.49,217.92,Julien,Entrepreneur,Agbalépédogan
MN1338-WH,1/1/2021,verre,782,2.99,486.07,Julien,Entrepreneur,Agbalepedogan
XG0846-UT,1/1/2021,acier,431,3.29,403.38,Julien,Particulier,Agbalépédogan
MC7032-GM,3/4/2017,ciment,924,6.99,71.68,Carole,Maçon,Agbalepedogan
CO7902-FI,5/12/2019,bois,225,15.99,376.5,Carole,Entrepreneur,Agbalepedogan
KS8637-IS,10/3/2018,ciment,805,3.49,241.68,Julien,Particulier,Agbalepedogan
OL3750-TU,1/1/2021,verre,340,4.49,155.66,Julien,Entrepreneur,Be Klikame
VO8214-HZ,1/1/2021,acier,877,4.29,311.05,Jean,Maçon,Adakpamé
RQ2103-GM,10/3/2018,bois,727,7.49,487.8,Luc,Maçon,Aflao Gakli
GE7226-KZ,1/1/2021,brique,63,12.99,145.6,Carole,Entrepreneur,Agbalépédogan
ZY0298-SC,5/12/2019,verre,961,3.49,59.48,Jean,Entrepreneur,Agbalepedogan
OO5965-US,7/8/2020,verre,481,4.19,204.77,Luc,Entrepreneur,Be Klikame
VG4139-RY,1/1/2021,bois,729,7.49,168.32,Colette,Particulier,Agbalepedogan
AI4864-NS,10/3/2018,verre,213,34.99,163.1,Luc,Entrepreneur,Agbalépédogan
HB0674-VR,7/8/2020,acier,711,6.99,139.47,Luc,Maçon,Agbalépédogan
BK3187-UD,10/3/2018,bois,706,39.99,140.64,Ana,Maçon,Agbalepedogan
IV1692-HL,7/8/2020,acier,913,79.99,284.46,Jean,Maçon,Agbalépédogan
UL1090-MW,7/8/2020,bois,627,19.99,199.09,Luc,Entrepreneur,Aflao Gakli
YA9154-LV,10/3/2018,brique,351,44.99,54.28,Carole,Entrepreneur,Agbalépédogan
UB7440-EK,5/12/2019,brique,216,3.79,462.64,Colette,Maçon,Agbalepedogan
CD4085-XT,10/3/2018,acier,805,1.79,356.01,Jean,Particulier,Agbalépédogan
AS4505-JL,5/12/2019,ciment,164,89.99,420.53,Jean,Particulier,Agbalepedogan
OJ6630-VJ,1/1/2021,verre,354,6.49,242.65,Ana,Maçon,Agbalepedogan
WP1341-TA,3/4/2017,ciment,822,2.49,274.71,Julien,Particulier,Agbalepedogan
OD1839-GO,7/8/2020,ciment,634,59.99,66.05,Julien,Particulier,Agbalépédogan
BD9292-VU,7/8/2020,verre,222,3.49,132.92,Carole,Entrepreneur,Agbalepedogan
HC2102-JU,7/8/2020,brique,239,9.99,397.49,Julien,Particulier,Agbalepedogan
AP7563-EN,3/4/2017,acier,492,17.99,250.24,Luc,Entrepreneur,Kodjoviakopé
IP6825-GI,7/8/2020,acier,480,5.49,283.02,Julien,Particulier,Agbalépédogan
RH8518-LL,10/3/2018,bois,958,6.99,64.46,Jean,Maçon,Agbalepedogan
XB5220-DC,1/1/2021,verre,633,4.49,114.37,Carole,Maçon,Agbalépédogan
ZD1196-NQ,5/12/2019,bois,884,2.49,345.92,Carole,Maçon,Agbalépédogan
TP5095-ZS,1/1/2021,verre,64,8.99,113.84,Luc,Particulier,Djidjolé
RU5461-WX,3/4/2017,verre,340,19.99,297.21,Ana,Maçon,Agbalépédogan
DN5204-AU,10/3/2018,brique,252,34.99,362.39,Ana,Maçon,Agbalépédogan
SV4451-SA,10/3/2018,brique,259,24.99,453.13,Ana,Entrepreneur,Agbalepedogan
PA8043-JZ,3/4/2017,verre,375,3.5,189.13,Jean,Particulier,Djidjolé
PD8332-MV,1/1/2021,ciment,778,29.99,474.47,Ana,Particulier,Agbalépédogan
KW3056-CC,10/3/2018,brique,982,29.99,172.19,Carole,Maçon,Agbalépédogan
KH1472-CE,5/12/2019,verre,795,22.99,273.44,Ana,Entrepreneur,Agbalépédogan
SF0657-YG,3/4/2017,ciment,794,3.99,346.63,Ana,Maçon,Agbalepedogan
AN0906-UW,5/12/2019,bois,54,79.99,311.93,Colette,Entrepreneur,Agbalépédogan
LR5063-WU,10/3/2018,bois,976,34.99,407.44,Jean,Particulier,Agbalepedogan
AA4869-BP,10/3/2018,acier,820,19.99,365.14,Luc,Maçon,Kodjoviakopé
DN0606-RB,7/8/2020,ciment,667,10.99,186.99,Carole,Entrepreneur,Agbalépédogan
GB5853-CZ,7/8/2020,ciment,35,19.99,335.85,Colette,Maçon,Nyékonakpoé
BV1731-LC,10/3/2018,verre,699,7.99,388.24,Ana,Particulier,Agbalepedogan
QD8539-LK,3/4/2017,verre,977,24.99,225.94,Julien,Particulier,Agbalepedogan
OP2589-QH,7/8/2020,acier,959,1.99,407.76,Ana,Entrepreneur,Be Klikame
SU0203-LK,10/3/2018,bois,82,6.99,302.63,Luc,Maçon,Agbalépédogan
UE1825-HY,7/8/2020,ciment,653,19.99,245.98,Julien,Particulier,Agbalepedogan
FO1099-EC,5/12/2019,bois,806,19.99,254.94,Luc,Particulier,Agbalépédogan
AQ7355-IF,1/1/2021,acier,18,4.29,61.58,Ana,Particulier,Be Klikame
QD9959-ZG,7/8/2020,ciment,478,34.99,359.8,Colette,Particulier,Aflao Gakli
YM2035-OU,1/1/2021,verre,836,14.99,159.12,Carole,Particulier,Agbalepedogan
AA3691-JW,5/12/2019,bois,495,49.99,462.03,Julien,Maçon,Agbalepedogan
YP3130-VR,3/4/2017,bois,1000,18.99,441.54,Carole,Entrepreneur,Djidjolé
OH1355-LH,5/12/2019,acier,139,2.79,363.54,Jean,Entrepreneur,Agbalépédogan
EU5478-MB,1/1/2021,bois,429,3.29,169.26,Jean,Particulier,Agbalepedogan
WC5231-US,7/8/2020,bois,276,49.99,79.03,Jean,Particulier,Agoe
FI1418-LL,5/12/2019,verre,895,4.89,426.49,Jean,Particulier,Agbalépédo
EF7674-QK,5/12/2019,brique,803,99.99,158.28,Ana,Maçon,Djidjolé
TW1929-LW,5/12/2019,bois,137,8.99,246.65,Jean,Particulier,Agbalépédogan
YQ2903-BX,5/12/2019,brique,674,14.99,187.98,Luc,Particulier,Djidjolé
FH3673-OK,3/4/2017,brique,766,5.29,362.51,Ana,Entrepreneur,Agbalepedogan
ZI4002-LR,3/4/2017,ciment,784,19.99,132.19,Jean,Particulier,Agbalepedogan
MI8060-OO,7/8/2020,bois,660,6.99,182.78,Colette,Particulier,Aflao Gakli
BU5299-LA,5/12/2019,bois,967,29.99,70.61,Ana,Particulier,Agbalépédogan
AY7934-MW,10/3/2018,verre,250,3.29,419.36,Colette,Entrepreneur,Agbalépédogan
YT3207-XU,3/4/2017,brique,431,15.99,266.01,Ana,Entrepreneur,Agbalépédogan
ZP6199-RF,5/12/2019,brique,122,99.99,290.63,Carole,Entrepreneur,Agbalepedogan
FZ6401-IR,5/12/2019,ciment,289,19.99,89.72,Colette,Particulier,Agbalépédogan
XF8949-KF,5/12/2019,verre,885,2.99,332.34,Julien,Entrepreneur,Agbalépédogan
KC6781-CX,10/3/2018,acier,740,19.99,478,Carole,Entrepreneur,Adakpamé
QO2521-YL,3/4/2017,verre,166,49.99,357.61,Luc,Entrepreneur,Agbalepedogan
HT5170-BI,7/8/2020,bois,293,2.99,116.33,Ana,Entrepreneur,Agbalepedogan
IQ0756-TT,7/8/2020,bois,811,3.99,210.04,Carole,Maçon,Be Klikame
WI1681-CD,10/3/2018,brique,989,5.49,66.36,Luc,Particulier,Agbalepedogan
VY4949-FD,10/3/2018,bois,565,12.99,52.76,Carole,Maçon,Agbalepedo
GV5002-JH,5/12/2019,ciment,757,22.99,128.77,Colette,Particulier,Agbalépédogan
DE8311-CN,10/3/2018,verre,465,19.99,426.96,Carole,Particulier,Agbalepedogan
ND3337-NI,3/4/2017,verre,853,8.99,66.56,Ana,Particulier,Agbalépédogan
SD3734-EQ,1/1/2021,bois,625,3.59,138.84,Luc,Maçon,Kodjoviakopé
QB3145-DH,7/8/2020,ciment,281,2.49,390.55,Ana,Particulier,Agbalépédogan
EH9489-ER,3/4/2017,bois,774,7.99,359.48,Jean,Entrepreneur,Agbalépédogan
MV6459-RA,5/12/2019,bois,873,9.99,486.75,Julien,Entrepreneur,Be Klikame
ZS6918-UY,10/3/2018,bois,361,4.29,387.3,Luc,Maçon,Bè
PK1055-DU,7/8/2020,verre,103,19.99,340.68,Ana,Particulier,Agbalepedogan
OB4140-LU,7/8/2020,bois,462,39.99,225.84,Colette,Particulier,Agbalépédogan
GB7430-ZZ,5/12/2019,bois,32,14.99,479,Julien,Maçon,Agbalepedo
WS7119-IR,10/3/2018,bois,388,15.99,414.48,Julien,Particulier,Agbalépédogan
XD6877-DD,3/4/2017,ciment,72,29.99,446.41,Ana,Entrepreneur,Kodjoviakopé
CZ8711-PL,7/8/2020,bois,262,3.49,309.72,Carole,Particulier,Be Klikame
ZL1703-GQ,10/3/2018,bois,897,19.99,395.1,Luc,Maçon,Agbalépédogan
WM1331-VC,3/4/2017,acier,654,24.99,292.73,Colette,Particulier,Agbalépédogan
XU2241-IW,7/8/2020,ciment,701,2.79,340.35,Luc,Particulier,Agbalépédogan
JQ3670-VF,10/3/2018,verre,513,29.99,338.13,Carole,Entrepreneur,Djidjolé
QE2174-XP,10/3/2018,verre,965,5.99,303.32,Luc,Particulier,Agbalépédogan
II0181-YF,5/12/2019,acier,958,49.99,429.32,Colette,Maçon,Agbalepedogan
DB6849-OB,3/4/2017,brique,789,2.49,75.12,Colette,Maçon,Agbalepedogan
ZX7042-AQ,5/12/2019,bois,173,39.99,429.29,Ana,Maçon,Agbalepedogan
KT4785-YM,10/3/2018,bois,670,5.99,356.81,Ana,Maçon,Adakpamé
AU0262-VR,3/4/2017,ciment,833,3.99,151.18,Jean,Entrepreneur,Agbalépédogan
SC2604-BH,10/3/2018,bois,978,9.99,180.46,Jean,Entrepreneur,Agbalépédogan
YZ6022-ZJ,5/12/2019,bois,737,4.49,94.06,Luc,Entrepreneur,Agbalépédogan
HA5456-YW,5/12/2019,bois,271,3.99,474.59,Colette,Entrepreneur,Djidjolé
NS2882-EZ,1/1/2021,acier,77,4.29,210.44,Luc,Entrepreneur,Agbalepedogan
VJ9894-FH,5/12/2019,bois,224,29.99,382.28,Jean,Particulier,Agbalepedogan
WY2159-JD,5/12/2019,ciment,151,99.99,400.96,Luc,Maçon,Be Klikame
EE6245-GO,3/4/2017,brique,793,34.99,96,Luc,Maçon,Agbalépédogan
EH9472-ZO,10/3/2018,brique,970,39.99,125.14,Colette,Particulier,Agbalepedogan
CM5483-YC,5/12/2019,ciment,407,29.99,445.06,Luc,Entrepreneur,Agbalépédogan
DW5446-HX,7/8/2020,ciment,783,24.99,484.46,Julien,Entrepreneur,Agbalepedogan
PN1584-GM,7/8/2020,brique,174,24.99,56.85,Julien,Entrepreneur,Djidjolé
DY4771-VL,7/8/2020,bois,825,5.49,271.99,Luc,Particulier,Agbalépédogan
TX9623-OA,7/8/2020,ciment,508,24.99,427.06,Julien,Maçon,Agbalepedogan
EJ7626-ID,5/12/2019,brique,867,3.99,398.14,Julien,Maçon,Agbalépédogan
RA9097-PG,3/4/2017,acier,562,49.99,371.82,Julien,Entrepreneur,Agbalépédogan
QE7115-HP,3/4/2017,ciment,713,29.99,267.28,Jean,Entrepreneur,Agbalepedogan
NZ6324-OL,5/12/2019,ciment,520,3.89,341.95,Julien,Entrepreneur,Agbalepedogan
VP3458-EN,5/12/2019,brique,731,3.99,81.73,Jean,Entrepreneur,Agbalepedogan
JZ3721-MH,5/12/2019,bois,102,3.99,412.47,Julien,Entrepreneur,Agbalépédogan
ZR2188-SW,5/12/2019,ciment,741,19.99,147.96,Julien,Entrepreneur,Agbalépédogan
NN3286-JI,7/8/2020,bois,546,8.99,190.86,Colette,Entrepreneur,Agbalepedogan
FP4187-WG,1/1/2021,verre,15,3.99,314.22,Carole,Maçon,Agbalepedogan
PS3979-BN,7/8/2020,brique,915,45.99,210.61,Carole,Particulier,Agbalepedogan
PA0506-GF,5/12/2019,ciment,756,19.99,477.4,Carole,Entrepreneur,Agbalepedogan
WO2179-DS,10/3/2018,brique,528,2.99,89.08,Jean,Particulier,Agbalepedogan
CB8206-SP,7/8/2020,bois,689,1.99,87.29,Carole,Particulier,Adakpamé
JW5313-PS,1/1/2021,verre,206,3.99,240.34,Colette,Particulier,Agbalepedogan
CJ4857-PM,1/1/2021,bois,230,99.99,360.89,Luc,Maçon,Agbalépédogan
DI5730-XQ,1/1/2021,acier,342,6.99,178.82,Luc,Entrepreneur,Agoe
UQ9836-KC,3/4/2017,ciment,725,69.99,381.09,Jean,Maçon,Be Klikame
AI6813-AQ,5/12/2019,acier,97,59.99,449.86,Jean,Maçon,Agbalepedogan
JF6224-LX,10/3/2018,bois,667,24.99,484.87,Jean,Maçon,Agbalepedogan
YD7075-RB,3/4/2017,verre,612,3.29,59.94,Luc,Particulier,Be Klikame
KI2566-KC,1/1/2021,ciment,11,39.99,199.29,Ana,Entrepreneur,Aflao Gakli
AX3994-KO,3/4/2017,bois,98,3.99,106.4,Julien,Particulier,Agbalépédogan
DN9931-UK,10/3/2018,ciment,522,39.99,342.68,Jean,Entrepreneur,Agbalepedogan
LT0690-TF,5/12/2019,acier,317,8.99,387.61,Jean,Maçon,Agbalepedogan
GI7791-FF,5/12/2019,ciment,789,39.99,494.55,Colette,Entrepreneur,Djidjolé
JG3821-OW,1/1/2021,verre,279,25,407.47,Ana,Particulier,Agbalépédogan
WV5982-WN,1/1/2021,acier,390,3.49,154.68,Ana,Particulier,Agbalépédo
PK0512-QF,3/4/2017,brique,914,3.99,383.94,Jean,Particulier,Agbalépédogan
DJ9495-DA,7/8/2020,ciment,780,6.99,174.69,Colette,Maçon,Agbalépédogan
EC3789-CH,1/1/2021,bois,679,3.49,256.51,Luc,Particulier,Djidjolé
QF6268-CB,7/8/2020,acier,790,4.29,88.17,Julien,Particulier,Agbalepedogan
UZ4962-BD,7/8/2020,brique,956,35,484.91,Jean,Entrepreneur,Agbalépédogan
WK9396-WU,10/3/2018,verre,501,39.99,176.51,Ana,Maçon,Agbalepedogan
GL8765-ZE,3/4/2017,acier,707,3.89,104.74,Julien,Entrepreneur,Djidjolé
XR9482-UN,10/3/2018,acier,821,3.99,246.16,Jean,Maçon,Agbalepedogan
SU1490-IP,10/3/2018,acier,499,15.99,97.24,Carole,Particulier,Agbalépédogan
KD5368-FV,10/3/2018,verre,676,4.99,428.74,Luc,Entrepreneur,Agbalepedogan
XA2744-LJ,7/8/2020,acier,413,2.99,368.03,Julien,Particulier,Agbalepedogan
XB8262-NR,1/1/2021,ciment,735,24.99,338.95,Colette,Maçon,Agbalepedogan
